id,count,yuangong
1204@hightech.com,1,1204
1216@hightech.com,1,1216
1385@hightech.com,1,1385
1482@hightech.com,1,1482
1296@hightech.com,1,1296
1305@hightech.com,1,1305
1352@hightech.com,1,1352
1440@hightech.com,1,1440
1170@hightech.com,1,1170
1231@hightech.com,1,1231
1220@hightech.com,1,1220
1150@hightech.com,1,1150
1130@hightech.com,1,1130
1324@hightech.com,1,1324
1141@hightech.com,1,1141
1493@hightech.com,1,1493
1322@hightech.com,1,1322
1192@hightech.com,1,1192
1057@hightech.com,1,1057
1171@hightech.com,1,1171
1124@hightech.com,1,1124
1154@hightech.com,1,1154
